Année,Durée en mois,Montant
2013,48.0,874997.0
2013,42.0,257330.0
2013,48.0,645424.0
2013,42.0,381160.0
2013,36.0,279708.0
2013,36.0,268112.0
2013,36.0,295796.0
2013,30.0,283131.0
2013,30.0,270945.0
2013,36.0,288692.0
2013,36.0,288155.0
2013,36.0,298307.0
2013,36.0,290697.0
2013,48.0,718352.0
2013,36.0,798985.0
2013,42.0,940040.0
2013,42.0,767943.0
2013,48.0,108000.0
2013,48.0,236999.0
2013,48.0,199357.0
2013,48.0,264815.0
2013,48.0,348426.0
2013,48.0,336346.0
2013,36.0,584517.0
2013,42.0,203874.0
2013,42.0,279327.0
2013,48.0,550000.0
2013,48.0,656279.0
2013,48.0,416986.0
2013,42.0,528765.0
2013,48.0,460559.0
2013,42.0,990018.0
2013,48.0,420000.0
2013,42.0,241883.0
2013,48.0,479120.0
2013,42.0,251905.0
2013,48.0,260133.0
2013,42.0,530782.0
2013,48.0,477672.0
2013,48.0,279760.0
2013,42.0,384592.0
2013,48.0,524791.0
2013,36.0,308984.0
2013,48.0,469909.0
2013,48.0,399995.0
2013,48.0,427960.0
2013,48.0,509964.0
2013,36.0,394000.0
2013,48.0,410949.0
2013,36.0,456548.0
2013,42.0,457706.0
2013,42.0,423760.0
2013,48.0,402355.0
2013,48.0,90000.0
2013,48.0,249962.0
2013,48.0,215882.0
2013,42.0,209975.0
2013,48.0,289989.0
2013,48.0,524680.0
2013,42.0,239970.0
2013,42.0,459826.0
2013,36.0,475000.0
2013,48.0,393560.0
2013,48.0,502044.0
2013,48.0,400000.0
2013,48.0,470000.0
2013,42.0,390000.0
2013,36.0,517920.0
2013,42.0,577200.0
2013,42.0,336912.0
2013,42.0,441064.0
2013,48.0,369234.0
2013,36.0,469912.0
2013,48.0,652706.0
2013,48.0,300000.0
2013,42.0,350000.0
2013,42.0,350000.0
2013,48.0,450000.0
2012,36.0,399823.0
2012,36.0,250000.0
2012,36.0,350000.0
2012,48.0,925971.0
2012,42.0,658316.0
2012,40.0,982720.0
2011,42.0,591758.0
2011,36.0,470696.0
2011,48.0,1141701.0
2011,36.0,653281.0
2011,42.0,1279314.0
2011,36.0,660990.0
2011,36.0,1141721.0
2011,36.0,1077745.0
2011,36.0,319287.0
2011,36.0,277793.0
2011,36.0,423600.0
2011,36.0,121183.0
2011,24.0,350000.0
2011,36.0,505000.0
2011,36.0,191000.0
2011,36.0,349412.0
2011,36.0,731423.0
2011,36.0,899977.0
2011,36.0,668448.0
2011,36.0,999436.0
2011,36.0,894754.0
2011,24.0,457843.0
2011,24.0,483595.0
2011,36.0,699925.0
2011,24.0,528000.0
2011,48.0,997232.0
2011,36.0,1144684.0
2011,48.0,835707.0
2011,36.0,173000.0
2011,24.0,433999.0
2011,36.0,419941.0
2011,48.0,905408.0
2011,36.0,902144.0
2011,36.0,893332.0
2011,36.0,666790.0
2011,36.0,869148.0
2011,36.0,942328.0
2012,36.0,234208.0
2012,48.0,467630.0
2012,48.0,451481.0
2012,36.0,443000.0
2012,36.0,241788.0
2012,48.0,617664.0
2012,48.0,997598.0
2012,48.0,631956.0
2012,36.0,281900.0
2012,36.0,291392.0
2012,36.0,298630.0
2012,36.0,283749.0
2012,30.0,296351.0
2012,36.0,290750.0
2012,36.0,263333.0
2012,36.0,297895.0
2012,36.0,293174.0
2012,36.0,291660.0
2012,36.0,299540.0
2012,36.0,293792.0
2012,18.0,296003.0
2012,48.0,586252.0
2012,36.0,970475.0
2012,48.0,218920.0
2012,48.0,98961.0
2012,48.0,179000.0
2012,48.0,288000.0
2012,36.0,673202.0
2012,48.0,510359.0
2012,36.0,337556.0
2012,48.0,313352.0
2012,36.0,458195.0
2012,36.0,364252.0
2012,48.0,499647.0
2012,48.0,471977.0
2012,36.0,435430.0
2012,36.0,336134.0
2012,48.0,488593.0
2012,48.0,580992.0
2012,36.0,489958.0
2012,36.0,169516.0
2012,48.0,639757.0
2012,48.0,452580.0
2012,36.0,575884.0
2012,36.0,259999.0
2012,48.0,393120.0
2012,36.0,277534.0
2012,36.0,299505.0
2012,36.0,286000.0
2006,36.0,80000.0
2014,48.0,329916.0
2014,48.0,196248.0
2014,60.0,549965.0
2014,54.0,466976.0
2014,48.0,491333.0
2014,48.0,399382.0
2014,60.0,393190.0
2014,60.0,350000.0
2015,42.0,526240.0
2015,48.0,542568.0
2015,42.0,210080.0
2015,36.0,468000.0
2015,36.0,483000.0
2015,36.0,261000.0
2015,30.0,275000.0
2015,36.0,276098.0
2015,42.0,273973.0
2015,48.0,499369.0
2015,48.0,480757.0
2015,36.0,399965.0
2015,36.0,218400.0
2015,48.0,338780.0
